"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"127","Austria",2000,100,100,NA,NA,26.44,16.41,0,43.44,72.58146,48863.28,3.22,63530,32.954258,3.375722147,24564.45829,109,83871,47.516231,14.550072
"128","Austria",2001,100,100,NA,NA,25.53,18.82,0,42.24,69.17786,50421.105,3.36,67910,30.816513,1.267168189,24537.51426,109,83871,47.516231,14.550072
"129","Austria",2002,100,100,NA,NA,24.68,18.79,0,41.9,69.03938,50254.64,3.33,69370.00275,30.325117,1.651553922,26401.74546,109,83871,47.516231,14.550072
"130","Austria",2003,100,100,NA,NA,22.56,22.82,0,35.24,60.695835,50523.203,3.48,74459.99908,25.140518,0.941470921,32222.89724,109,83871,47.516231,14.550072
"131","Austria",2004,100,100,NA,NA,23.17,22.31,0,39.62,63.975456,51139.312,3.44,75800.00305,27.633785,2.735120222,36821.52147,109,83871,47.516231,14.550072
"132","Austria",2005,100,100,NA,NA,24.41,23.61,0,40.88,63.389675,51714.72,3.47,76239.99786,27.94786,2.244065325,38403.13388,109,83871,47.516231,14.550072
"133","Austria",2006,100,100,NA,NA,26.64,21.62,0,40.66,65.285805,50921.684,3.38,74099.99847,28.59121,3.454041836,40635.28182,109,83871,47.516231,14.550072
"134","Austria",2007,100,100,NA,NA,28.99,19.74,0,43.17,68.62184,49669.195,3.2,71239.99786,30.98061,3.727415301,46855.77175,109,83871,47.516231,14.550072
"135","Austria",2008,100,100,NA,NA,29.68,19.97,0,44.53,69.03876,50475.008,3.18,70730.00336,31.345478,1.460423676,51708.76575,109,83871,47.516231,14.550072
"136","Austria",2009,100,100,NA,NA,31.31,19.12,0,47.18,71.161385,48765.184,3.14,64419.99817,34.322514,-3.764578178,47963.1794,109,83871,47.516231,14.550072
"137","Austria",2010,100,100,NA,NA,31.15,22.92,0,44.99,66.24944,50240.96,3.29,69959.99908,31.605642,1.837093677,46858.04327,109,83871,47.516231,14.550072
"138","Austria",2011,100,100,NA,NA,31.64,21.35,0,40.91,65.70832,47200.484,3.1,68269.99664,30.720795,2.922797284,51374.95841,109,83871,47.516231,14.550072
"139","Austria",2012,100,100,NA,NA,34.38,17.37,0,51.33,74.71616,49174.594,3.07,65110.00061,35.929344,0.680445577,48567.69529,109,83871,47.516231,14.550072
"140","Austria",2013,100,100,NA,NA,34.59,14.09,0,50.5,78.185486,48493.574,3.1,65750,35.266674,0.025504712,50716.70871,109,83871,47.516231,14.550072
